OBJECTID,NAME,Nombre,Hombres,Mujeres,Shape__Area,Shape__Length
1,Austria,Austria,8.6,7.9,184563360729.151,3467989.15857346
2,Belgium,Bélgica,4.8,4.6,75972970781.6002,2315517.79778822
3,Bulgaria,Bulgaria,13,9.6,205988311804.033,3126439.18631182
4,Croatia,Croacia,6.7,4.2,113562106636.023,10437978.8992644
5,Czech Republic,República Checa,3.7,3.9,188603543339.365,3005479.22395842
6,Denmark,Dinamarca,5.6,4.9,138586350730.331,11183184.1593204
7,Estonia,Estonia,9.9,9.3,167429356099.342,6206906.43211601
8,Finland,Finlandia,3.3,2.9,1836864071111.25,62812685.2228343
9,France,Francia,8.2,7.6,1164228592006.75,15836110.4038968
10,Germany,Alemania,8.1,11,907908903379.685,13111996.4832957
11,Greece,Grecia,15.3,12.3,220103622755.625,20384209.8483173
12,Hungary,Hungría,9.4,9.9,201137508069.25,2929025.808871
13,Ireland,Irlanda,4.9,4.7,195349001545.391,12137501.6364321
14,Italy,Italia,13.2,9.5,561045213847.125,14422734.4457864
15,Latvia,Letonia,8.4,8.2,215387786405.889,3775129.20272463
16,Lithuania,Lituania,9.3,7.7,200275669210.025,3051145.24646136
17,Luxembourg,Luxemburgo,11.5,12.7,6217307241.02393,501178.086369396
18,Malta,Malta,7.5,3.1,496672977.395508,226784.267638208
19,Netherlands,Países Bajos,6.1,5,93704668901.1719,6612222.38389959
20,Poland,Polonia,11.9,9.5,826956999619.732,7624359.80244796
21,Portugal,Portugal,11.3,10.5,150109292373.751,4070043.68778671
22,Romania,Rumanía,21.5,15.2,491287976417.389,5010282.49530168
23,Slovakia,República Eslovaca,6.9,6,112524683977.035,2186828.883104
24,Slovenia,Eslovenia,7.1,4.8,42155535031.1172,1679833.33161901
25,Spain,España,13.7,12.4,861716417520.065,10677461.5631897
26,Sweden,Suecia,7,6.4,2181057348272.5,52176688.8047063
27,United Kingdom,Reino Unido,9,8.1,717292006199.218,35725650.4315075
28,Cyprus,Chipre,8,8.5,13859272374.5127,876648.888228311
